name,online_order,book_table,rate,votes,approx_cost(for two people),listed_in(type)
Jalsa,Yes,Yes,4.1,775.0,800,Buffet
Spice Elephant,Yes,No,4.1,787.0,800,Buffet
San Churro Cafe,Yes,No,3.8,918.0,800,Buffet
Addhuri Udupi Bhojana,No,No,3.7,88.0,300,Buffet
Grand Village,No,No,3.8,166.0,600,Buffet
Timepass Dinner,Yes,No,3.8,286.0,600,Buffet
Rosewood International Hotel - Bar & Restaurant,No,No,3.6,8.0,800,Buffet
Onesta,Yes,Yes,4.6,43.5,600,Cafes
Penthouse Cafe,Yes,No,4.0,324.0,700,other
Smacznego,Yes,No,4.2,504.0,550,Cafes
Village Café,Yes,No,4.1,402.0,500,Cafes
Cafe Shuffle,Yes,Yes,4.2,150.0,600,Cafes
The Coffee Shack,Yes,Yes,4.2,164.0,500,Cafes
Caf-Eleven,No,No,4.0,424.0,450,Cafes
San Churro Cafe,Yes,No,3.8,918.0,800,Cafes
Cafe Vivacity,Yes,No,3.8,90.0,650,Cafes
Catch-up-ino,Yes,No,3.9,133.0,800,Cafes
Kirthi's Biryani,Yes,No,3.8,144.0,700,Cafes
T3H Cafe,No,No,3.9,93.0,300,Cafes
360 Atoms Restaurant And Cafe,Yes,No,3.1,13.0,400,Cafes
The Vintage Cafe,Yes,No,3.0,62.0,400,Cafes
Woodee Pizza,Yes,No,3.7,180.0,500,Cafes
Cafe Coffee Day,No,No,3.6,28.0,900,Cafes
My Tea House,Yes,No,3.6,62.0,600,Cafes
Hide Out Cafe,No,No,3.7,31.0,300,Cafes
CAFE NOVA,No,No,3.2,11.0,600,Cafes
Coffee Tindi,Yes,No,3.8,75.0,200,Cafes
Sea Green Cafe,No,No,3.3,4.0,500,Cafes
Cuppa,No,No,3.3,23.0,550,Cafes
Srinathji's Cafe,No,No,3.8,148.0,550,Cafes
Redberrys,Yes,No,4.0,219.0,600,Cafes
Foodiction,Yes,No,2.8,506.0,500,other
Sweet Truth,Yes,No,3.9,35.0,500,Dining
Ovenstory Pizza,Yes,No,3.9,172.0,750,Dining
Faasos,Yes,No,4.2,415.0,500,other
Behrouz Biryani,Yes,No,3.9,230.0,650,Dining
Fast And Fresh,Yes,No,2.8,91.0,400,Dining
Szechuan Dragon,Yes,No,4.2,1647.0,600,Dining
Empire Restaurant,Yes,No,4.4,43.5,750,other
Maruthi Davangere Benne Dosa,Yes,No,4.0,17.0,150,Dining
Chaatimes,Yes,No,3.8,133.0,200,Dining
Havyaka Mess,No,No,3.9,28.0,300,Dining
McDonald's,Yes,No,3.9,286.0,500,Dining
Domino's Pizza,Yes,No,3.9,540.0,800,Dining
Onesta,Yes,Yes,4.6,43.5,600,other
Hotboxit,No,No,3.8,36.0,400,Dining
Kitchen Garden,Yes,No,3.6,244.0,300,Dining
Recipe,Yes,No,4.0,804.0,450,Dining
Beijing Bites,Yes,No,3.7,679.0,850,Dining
Tasty Bytes,Yes,No,3.1,245.0,300,Dining
Petoo,No,No,3.7,21.0,450,Dining
Shree Cool Point,Yes,No,4.1,28.0,150,Dining
Corner House Ice Cream,No,No,4.3,345.0,400,Dining
Biryanis And More,Yes,No,4.0,618.0,750,Dining
Roving Feast,No,No,4.0,1047.0,450,Dining
FreshMenu,Yes,No,3.9,627.0,450,Dining
Banashankari Donne Biriyani,Yes,No,3.8,104.0,300,Dining
Wamama,Yes,Yes,4.2,354.0,800,other
Five Star Chicken,No,No,3.6,55.0,200,Dining
XO Belgian Waffle,Yes,No,3.7,17.0,400,Dining
Peppy Peppers,No,No,4.2,244.0,800,other
Goa 0 Km,Yes,Yes,3.6,163.0,800,Dining
Chinese Kitchen,Yes,No,3.8,58.0,150,Dining
Jeet Restaurant,No,Yes,4.0,808.0,850,Dining
Cake of the Day,No,No,3.7,78.0,150,Dining
Kabab Magic,Yes,No,4.1,1720.0,400,Dining
Namma Brahmin's Idli,Yes,No,3.6,34.0,100,Dining
Gustoes Beer House,No,No,4.1,868.0,700,Dining
Sugar Rush,No,No,3.8,39.0,300,Dining
Burger King,Yes,No,3.2,71.0,600,Dining
The Good Bowl,Yes,No,3.6,6.0,500,Dining
The Biryani Cafe,No,No,4.1,520.0,300,Dining
Spicy Tandoor,No,No,4.1,0.0,150,Dining
LSD Cafe,No,No,2.9,84.0,700,other
Rolls On Wheels,No,No,3.6,299.0,300,Dining
Om Sri Vinayaka Chats,No,No,3.6,0.0,500,Dining
Sri Guru Kottureshwara Davangere Benne Dosa,Yes,No,4.1,558.0,150,Dining
Devanna Dum Biriyani Centre,Yes,No,3.6,28.0,300,Dining
Kolbeh,No,No,3.7,22.0,500,Dining
Upahar Sagar,No,No,3.8,39.0,350,Dining
Kadalu Sea Food Restaurant,Yes,No,3.8,153.0,500,Dining
Frozen Bottle,Yes,No,4.2,146.0,400,Dining
Parimala Sweets,No,No,3.5,14.0,200,Dining
Vaishali Deluxe,No,No,3.8,42.0,700,Dining
Chill Out,No,No,3.8,0.0,100,Dining
The Big O Bakes,No,No,4.0,66.0,300,Dining
Meghana Foods,Yes,No,4.4,43.5,600,Dining
Krishna Sagar,No,No,3.5,31.0,200,Dining
Dessert Rose,No,No,3.5,7.0,500,Dining
Chickpet Donne Biryani House,No,No,3.7,21.0,250,Dining
Me And My Cake,No,No,3.7,0.0,500,Dining
Sunsadm,No,No,3.7,0.0,400,Dining
Annapooraneshwari Mess,No,No,3.7,0.0,200,Dining
Thanco's Natural Ice Creams,No,No,3.2,9.0,300,Dining
Nandhini Deluxe,No,No,2.6,283.0,600,Dining
Vi Ra's Bar and Restaurant,No,No,3.3,62.0,800,Dining
Kaggis,No,No,3.8,64.0,250,Dining
Ayda Persian Kitchen,No,No,3.7,39.0,950,Dining
Chatar Patar,No,No,3.7,65.0,300,Dining
Polar Bear,Yes,No,3.8,71.0,400,Dining
Kidambi's Kitchen,No,No,3.5,52.0,300,Dining
Mane Thindi,No,No,3.7,130.0,200,Dining
Kotian Karavali Restaurant,No,No,3.5,10.0,300,Dining
Floured-Baked With Love,No,No,3.8,45.0,400,Dining
CAFE NOVA,No,No,3.2,11.0,600,Dining
Cakes & Slices,No,No,3.5,13.0,300,Dining
Spice 9,No,No,3.4,8.0,300,Dining
Coffee Shopee,No,No,3.4,0.0,250,Dining
Naveen Kabab & Biriyani Mane,No,No,3.2,9.0,300,Dining
Katriguppe Donne Biryani,No,No,3.2,4.0,300,Dining
Hari Super Sandwich,No,No,3.2,0.0,200,Dining
Atithi Point Ande Ka Funda,No,No,3.1,29.0,150,Dining
Just Bake,No,No,3.4,8.0,400,Dining
Dharwad Line Bazaar Mishra Pedha,No,No,3.4,0.0,150,Dining
Cake Bite,No,No,3.4,0.0,300,Dining
Aarush's Food Plaza,No,No,3.4,0.0,200,Dining
Wood Stove,No,No,3.4,0.0,150,Dining
Kulfi & More,No,No,3.4,0.0,150,Dining
Kannadigas Karavali,No,No,3.4,0.0,250,Dining
K27 - The Pub,No,No,3.1,30.0,900,Dining
Bengaluru Coffee House,Yes,No,4.1,201.0,300,Dining
New Mangalore Lunch Home,No,No,3.3,7.0,200,Dining
Coffee Bytes,No,No,3.1,6.0,100,Dining
Parjanya Chat Zone,No,No,3.3,17.0,200,Dining
Kwality Wall's Swirl's Happiness Station,No,No,2.9,25.0,200,Dining
Soms Kitchen & Bakes,No,No,2.9,0.0,400,Dining
Banashankari Nati Style,No,No,2.9,0.0,350,Dining
Ruchi Maayaka,No,No,3.3,8.0,100,Dining
Mohitesh Hut Roll,No,No,3.3,0.0,150,Dining
Sri Basaveshwar Jolada Rotti Oota,No,No,3.4,0.0,150,Dining
Roll Magic Fast Food,No,No,3.4,0.0,200,Dining
Foodlieious Multi Cuisine,No,No,3.4,0.0,100,Dining
Thanishka Nati And Karavali Style,No,No,3.1,0.0,400,Dining
Swathi Cool Point,No,No,4.1,0.0,200,Dining
Kaumudis Juoice,No,No,3.3,0.0,150,Dining
Amma - Manae,No,No,3.1,0.0,400,Dining
Sri Sai Tiffannies,No,No,3.3,0.0,150,Dining
Hotel Andhra Speices,No,No,2.9,0.0,250,Dining
Sri Murari Family Restaurant,No,No,2.9,0.0,250,Dining
Aramane Donne Biriyani,No,No,2.9,0.0,150,Dining
Darkolates,No,No,3.3,0.0,200,Dining
Swaada Healthy Kitchen,No,No,3.3,0.0,350,Dining
Gawdaru Mane Beriyani,No,No,3.3,0.0,300,Dining
Melting Melodies,No,No,3.3,0.0,100,Dining
New Indraprasta,No,No,3.3,0.0,150,Dining
Anna Kuteera,Yes,No,4.0,771.0,450,Dining
Darbar,No,No,3.0,98.0,800,Dining
Vijayalakshmi,Yes,No,3.9,47.0,200,Dining
